,EmployeeNumber,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,31-35,36-43,44+,No,Yes,Travel_Frequently,Travel_Rarely,Research & Development,Sales,Life Sciences,Marketing,Medical,Other,Technical Degree,Male
12,16,18-30,No,Travel_Rarely,Research & Development,26,1,Life Sciences,1,Male,3,1,Research Scientist,3,Divorced,2911,1,No,17,3,4,1,5,1,2,5,2,4,3,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1
13,18,31-35,No,Travel_Rarely,Research & Development,19,2,Medical,2,Male,3,1,Laboratory Technician,4,Divorced,2661,0,No,11,3,3,1,3,2,3,2,2,1,2,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1
14,19,18-30,Yes,Travel_Rarely,Research & Development,24,3,Life Sciences,3,Male,2,1,Laboratory Technician,3,Single,2028,5,Yes,14,3,2,0,6,4,3,4,2,0,3,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1
15,20,18-30,No,Travel_Rarely,Research & Development,21,4,Life Sciences,2,Female,4,3,Manufacturing Director,1,Divorced,9980,1,No,11,3,3,1,10,1,3,10,9,8,8,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0
16,21,31-35,No,Travel_Rarely,Research & Development,5,2,Life Sciences,1,Male,4,1,Research Scientist,2,Divorced,3298,0,Yes,12,3,4,2,7,5,2,6,2,0,5,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1
17,22,18-30,No,Non-Travel,Research & Development,16,2,Medical,4,Male,4,1,Laboratory Technician,4,Divorced,2935,1,Yes,13,3,2,2,1,2,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
18,23,44+,No,Travel_Rarely,Sales,2,4,Life Sciences,1,Female,2,4,Manager,4,Married,15427,2,No,16,3,3,0,31,3,3,25,8,3,7,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0
19,24,36-43,No,Travel_Rarely,Research & Development,2,3,Life Sciences,4,Male,3,1,Research Scientist,4,Single,3944,5,Yes,11,3,3,0,6,3,3,3,2,1,2,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1
20,26,18-30,No,Non-Travel,Research & Development,11,2,Other,1,Female,4,2,Manufacturing Director,3,Divorced,4011,0,No,18,3,4,1,5,5,2,4,2,1,3,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
21,27,31-35,Yes,Travel_Rarely,Sales,9,4,Life Sciences,3,Male,2,1,Sales Representative,1,Single,3407,7,No,23,4,2,0,10,4,3,5,3,0,3,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1
22,28,31-35,No,Travel_Rarely,Research & Development,7,4,Life Sciences,1,Female,3,3,Research Director,2,Single,11994,0,No,11,3,3,0,13,4,3,12,6,2,11,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0
23,30,18-30,No,Travel_Rarely,Research & Development,15,2,Life Sciences,3,Male,3,1,Research Scientist,4,Single,1232,1,No,14,3,4,0,0,6,3,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1
24,31,31-35,Yes,Travel_Rarely,Research & Development,6,1,Medical,2,Male,3,1,Research Scientist,1,Single,2960,2,No,11,3,3,0,8,2,3,4,2,1,3,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1
25,32,44+,No,Travel_Rarely,Research & Development,5,3,Other,3,Female,3,5,Manager,3,Divorced,19094,4,No,11,3,4,1,26,3,2,14,13,4,8,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0
26,33,31-35,Yes,Travel_Frequently,Research & Development,16,1,Life Sciences,2,Female,1,1,Research Scientist,1,Single,3919,1,Yes,22,4,2,0,10,5,3,10,2,6,7,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0
27,35,36-43,No,Travel_Rarely,Sales,8,4,Marketing,3,Male,3,2,Sales Executive,2,Married,6825,0,No,11,3,4,1,10,2,3,9,7,4,2,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1
28,36,36-43,No,Travel_Rarely,Research & Development,7,4,Medical,1,Female,2,3,Healthcare Representative,4,Married,10248,3,No,14,3,4,1,24,4,3,22,6,5,17,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0
29,38,44+,No,Travel_Rarely,Sales,2,4,Marketing,2,Female,3,5,Manager,1,Single,18947,3,No,12,3,4,0,22,2,2,2,2,2,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0
30,39,31-35,No,Travel_Rarely,Research & Development,2,3,Medical,3,Male,3,1,Laboratory Technician,4,Single,2496,4,No,11,3,4,0,7,3,3,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1
31,40,36-43,No,Travel_Rarely,Research & Development,10,4,Other,4,Male,3,2,Healthcare Representative,4,Married,6465,2,Yes,13,3,4,0,9,5,4,4,2,1,3,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1
32,41,18-30,No,Travel_Rarely,Research & Development,9,2,Medical,4,Male,2,1,Laboratory Technician,3,Single,2206,1,No,13,3,1,0,10,5,3,10,0,1,8,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1
33,42,36-43,Yes,Travel_Rarely,Sales,5,3,Technical Degree,4,Male,3,2,Sales Representative,4,Married,2086,3,No,14,3,3,1,19,6,4,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1
34,45,18-30,Yes,Travel_Rarely,Research & Development,1,3,Medical,2,Male,3,1,Research Scientist,4,Married,2293,2,Yes,16,3,1,1,6,2,2,2,0,2,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1
35,46,36-43,No,Travel_Rarely,Research & Development,2,2,Medical,4,Female,4,1,Research Scientist,3,Divorced,2645,1,No,12,3,4,2,6,3,2,5,3,1,4,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0
36,47,44+,Yes,Travel_Rarely,Sales,3,2,Marketing,1,Male,2,1,Sales Representative,3,Married,2683,1,Yes,14,3,3,0,3,2,3,3,2,0,2,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1
37,49,31-35,No,Travel_Rarely,Sales,2,3,Marketing,4,Female,3,1,Sales Representative,4,Married,2014,1,No,13,3,1,0,2,3,3,2,2,2,2,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0
38,51,31-35,No,Travel_Rarely,Research & Development,5,4,Life Sciences,2,Female,2,1,Research Scientist,1,Married,3419,9,Yes,14,3,4,1,6,3,4,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0
39,52,31-35,No,Travel_Frequently,Sales,1,3,Life Sciences,3,Female,4,2,Sales Executive,1,Married,5376,2,No,19,3,1,2,10,3,3,5,3,1,3,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0
40,53,31-35,No,Travel_Rarely,Research & Development,4,2,Other,3,Male,3,1,Laboratory Technician,4,Divorced,1951,1,No,12,3,3,1,1,3,3,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1
41,54,18-30,No,Travel_Rarely,Research & Development,2,4,Life Sciences,4,Female,3,1,Laboratory Technician,1,Divorced,2341,1,No,13,3,4,1,1,6,3,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0
42,55,18-30,Yes,Travel_Rarely,Research & Development,25,3,Life Sciences,1,Male,1,1,Laboratory Technician,3,Single,2293,1,No,12,3,3,0,1,2,2,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1
43,56,18-30,No,Travel_Frequently,Sales,8,3,Life Sciences,4,Male,3,3,Sales Executive,3,Single,8726,1,No,15,3,4,0,9,0,3,9,8,1,7,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1
44,57,18-30,No,Travel_Frequently,Research & Development,1,2,Medical,3,Female,3,2,Laboratory Technician,4,Single,4011,1,No,23,4,4,0,12,2,3,12,8,3,7,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
45,58,36-43,Yes,Travel_Rarely,Research & Development,12,3,Technical Degree,2,Female,3,5,Research Director,3,Married,19545,1,No,12,3,4,0,23,0,3,22,15,15,8,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0
46,60,31-35,No,Non-Travel,Sales,23,4,Marketing,2,Male,3,2,Sales Executive,3,Single,4568,0,No,20,4,3,0,10,2,3,9,5,8,7,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1
47,61,36-43,No,Travel_Rarely,Research & Development,19,2,Life Sciences,2,Male,3,1,Research Scientist,2,Married,3022,4,No,21,4,1,0,8,1,3,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1
48,62,44+,No,Travel_Frequently,Sales,5,4,Marketing,1,Male,3,2,Sales Executive,4,Single,5772,4,Yes,21,4,3,0,14,4,3,9,6,0,8,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1
49,63,31-35,No,Travel_Rarely,Research & Development,8,1,Life Sciences,4,Male,4,1,Laboratory Technician,4,Married,2269,1,No,19,3,4,0,1,2,3,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1
50,64,44+,Yes,Travel_Rarely,Research & Development,1,2,Life Sciences,1,Male,2,3,Laboratory Technician,3,Single,5381,9,Yes,13,3,4,0,23,2,3,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1
51,65,18-30,Yes,Travel_Rarely,Research & Development,5,4,Technical Degree,3,Male,3,1,Laboratory Technician,3,Single,3441,1,Yes,13,3,3,0,2,3,2,2,2,2,2,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1
52,68,36-43,No,Travel_Rarely,Sales,1,5,Marketing,2,Female,3,2,Sales Executive,1,Divorced,5454,5,Yes,21,4,3,1,9,2,2,4,3,1,3,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0
53,70,31-35,No,Non-Travel,Research & Development,11,2,Medical,3,Male,2,3,Healthcare Representative,1,Married,9884,2,Yes,13,3,3,1,10,3,3,4,0,2,3,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
54,72,18-30,No,Travel_Rarely,Sales,23,3,Marketing,3,Female,2,2,Sales Executive,4,Married,4157,7,Yes,19,3,3,1,5,2,2,2,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0
55,73,31-35,No,Travel_Frequently,Research & Development,1,2,Life Sciences,1,Female,3,3,Research Director,4,Single,13458,1,Yes,12,3,3,0,15,1,3,15,14,8,12,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0
56,74,31-35,No,Travel_Frequently,Sales,18,5,Life Sciences,2,Male,3,3,Sales Executive,1,Married,9069,1,No,22,4,4,1,9,3,2,9,8,1,8,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1
57,75,31-35,No,Travel_Rarely,Research & Development,23,4,Medical,3,Female,3,1,Laboratory Technician,1,Married,4014,3,Yes,15,3,3,1,4,3,3,2,2,2,2,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0
58,76,18-30,No,Travel_Rarely,Research & Development,7,4,Life Sciences,4,Male,3,2,Laboratory Technician,4,Divorced,5915,3,No,22,4,4,1,10,3,2,7,7,1,7,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1
59,77,36-43,No,Travel_Rarely,Research & Development,1,4,Life Sciences,1,Male,2,2,Manufacturing Director,3,Divorced,5993,1,No,18,3,3,1,7,2,4,7,5,0,7,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1
60,78,31-35,No,Travel_Rarely,Research & Development,1,3,Medical,1,Male,3,2,Manufacturing Director,4,Married,6162,1,Yes,22,4,2,1,9,3,3,9,8,7,8,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1
61,79,36-43,No,Travel_Frequently,Research & Development,29,5,Life Sciences,4,Female,3,2,Laboratory Technician,4,Single,2406,1,No,11,3,4,0,10,2,3,10,3,9,9,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0
62,80,44+,No,Travel_Rarely,Research & Development,7,2,Medical,2,Female,2,5,Research Director,3,Divorced,18740,5,Yes,12,3,4,1,29,2,2,27,3,13,8,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0
63,81,44+,No,Travel_Rarely,Sales,25,3,Life Sciences,1,Female,3,3,Sales Executive,1,Single,7637,7,No,11,3,4,0,28,3,2,21,16,7,9,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0
64,83,31-35,No,Travel_Rarely,Research & Development,8,3,Technical Degree,3,Female,3,3,Healthcare Representative,3,Divorced,10096,1,No,13,3,2,3,17,2,3,17,14,12,8,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0
65,84,44+,No,Travel_Rarely,Research & Development,8,3,Medical,4,Female,3,4,Manager,3,Divorced,14756,2,Yes,14,3,3,3,21,2,3,5,0,0,2,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0
66,85,31-35,No,Travel_Frequently,Research & Development,11,3,Life Sciences,2,Male,2,2,Manufacturing Director,2,Single,6499,1,No,13,3,3,0,6,3,3,6,5,0,3,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1
67,86,44+,No,Travel_Rarely,Research & Development,7,3,Life Sciences,2,Male,3,3,Research Scientist,1,Divorced,9724,2,No,17,3,3,1,25,2,3,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1
68,88,31-35,No,Travel_Frequently,Research & Development,1,3,Medical,2,Male,3,1,Research Scientist,1,Married,2194,4,No,13,3,4,1,5,2,2,3,2,1,2,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1
69,90,31-35,Yes,Travel_Rarely,Research & Development,9,3,Medical,4,Male,2,1,Research Scientist,3,Married,3388,0,Yes,17,3,1,1,2,0,2,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1
70,91,44+,No,Travel_Frequently,Sales,1,1,Life Sciences,1,Female,2,2,Sales Executive,3,Single,5473,7,No,11,3,4,0,20,2,2,4,3,1,3,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0
71,94,18-30,No,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Male,3,1,Research Scientist,2,Married,2703,0,No,23,4,4,1,6,3,3,5,4,0,4,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1
72,95,18-30,No,Travel_Rarely,Research & Development,1,4,Medical,3,Male,3,1,Research Scientist,2,Single,2501,1,No,17,3,2,0,1,4,3,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1
73,96,31-35,No,Travel_Rarely,Research & Development,1,3,Life Sciences,2,Male,3,2,Research Scientist,2,Married,6220,1,No,17,3,2,2,10,3,3,10,4,0,9,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1
74,97,31-35,No,Travel_Rarely,Research & Development,6,3,Life Sciences,2,Female,4,1,Laboratory Technician,4,Married,3038,3,No,12,3,2,0,5,3,3,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0
75,98,18-30,No,Travel_Rarely,Research & Development,8,4,Life Sciences,3,Female,3,2,Manufacturing Director,4,Single,4424,1,No,23,4,4,0,11,2,3,11,7,1,8,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0
76,100,31-35,No,Travel_Rarely,Sales,1,4,Marketing,3,Male,2,2,Sales Executive,1,Single,4312,0,No,14,3,2,0,16,2,3,15,13,2,8,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1
77,101,44+,No,Travel_Rarely,Research & Development,6,4,Other,4,Male,3,3,Research Director,1,Married,13245,4,Yes,14,3,2,0,17,3,4,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1
78,102,36-43,No,Travel_Rarely,Research & Development,7,4,Medical,1,Male,3,3,Research Director,3,Single,13664,4,No,13,3,1,0,16,3,4,5,2,0,2,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1
79,103,44+,No,Travel_Rarely,Human Resources,5,2,Medical,2,Male,3,2,Human Resources,2,Divorced,5021,8,Yes,22,4,4,1,16,2,3,4,2,0,2,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1
80,104,18-30,No,Travel_Rarely,Research & Development,1,1,Life Sciences,4,Male,2,2,Laboratory Technician,4,Married,5126,1,Yes,12,3,3,2,10,1,2,10,8,3,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1
81,105,31-35,No,Travel_Rarely,Research & Development,1,3,Medical,2,Male,2,1,Research Scientist,3,Single,2859,1,No,18,3,1,0,6,3,3,6,4,0,4,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1
82,106,44+,No,Travel_Rarely,Sales,1,2,Life Sciences,1,Male,3,3,Sales Executive,4,Married,10239,3,No,14,3,4,1,24,4,3,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1
83,107,36-43,No,Non-Travel,Research & Development,6,3,Medical,2,Female,1,2,Research Scientist,4,Divorced,5329,7,Yes,12,3,4,3,17,3,3,13,11,1,9,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
84,110,31-35,No,Travel_Rarely,Research & Development,1,2,Medical,1,Male,3,2,Manufacturing Director,2,Married,4325,1,No,15,3,3,0,5,2,3,5,2,1,3,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1
85,112,44+,No,Travel_Rarely,Research & Development,7,3,Life Sciences,4,Male,1,3,Manufacturing Director,4,Single,7260,4,No,11,3,1,0,37,3,2,6,4,0,2,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1
86,113,18-30,No,Travel_Rarely,Sales,2,1,Technical Degree,3,Male,3,1,Sales Representative,1,Divorced,2322,3,No,13,3,3,1,3,3,3,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1
87,116,44+,No,Travel_Rarely,Research & Development,9,4,Life Sciences,4,Male,3,1,Laboratory Technician,4,Married,2075,3,No,23,4,2,2,10,4,3,4,2,0,3,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1
88,117,18-30,No,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Male,2,2,Healthcare Representative,4,Married,4152,1,No,19,3,1,3,11,3,3,11,10,10,8,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1
89,118,44+,Yes,Travel_Rarely,Sales,9,2,Medical,3,Male,2,3,Sales Executive,4,Single,9619,1,No,16,3,4,0,9,3,3,9,8,4,7,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1
90,119,36-43,No,Travel_Frequently,Research & Development,1,4,Life Sciences,3,Male,2,4,Healthcare Representative,2,Married,13503,1,No,22,4,4,1,22,3,2,22,3,11,11,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1
91,120,44+,No,Travel_Rarely,Sales,21,4,Marketing,3,Male,3,2,Sales Executive,4,Single,5441,0,Yes,22,4,4,0,11,2,1,10,7,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1
92,121,18-30,No,Travel_Rarely,Sales,4,2,Medical,3,Female,2,2,Sales Executive,2,Divorced,5209,1,Yes,12,3,2,3,11,4,2,11,8,2,7,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
93,124,44+,No,Travel_Frequently,Research & Development,1,3,Medical,3,Male,2,3,Healthcare Representative,1,Married,10673,2,Yes,13,3,3,1,21,5,2,10,9,9,5,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1
94,125,31-35,No,Travel_Rarely,Sales,6,4,Medical,2,Male,3,2,Sales Executive,3,Single,5010,1,No,16,3,1,0,12,0,3,11,8,5,7,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1
95,126,44+,No,Travel_Rarely,Research & Development,2,4,Technical Degree,1,Female,3,3,Research Director,3,Married,13549,9,No,12,3,1,1,16,5,1,4,3,0,3,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0
96,128,18-30,No,Travel_Rarely,Sales,3,2,Other,1,Female,3,2,Sales Executive,3,Married,4999,0,No,21,4,1,1,4,2,2,3,2,0,2,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
97,129,18-30,No,Non-Travel,Sales,4,3,Medical,2,Male,3,2,Sales Executive,3,Married,4221,1,No,15,3,2,0,5,3,4,5,4,0,4,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
98,131,44+,No,Travel_Rarely,Sales,10,4,Medical,4,Male,3,4,Sales Executive,3,Single,13872,0,No,13,3,3,0,38,1,2,37,10,1,8,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1
99,132,36-43,No,Non-Travel,Research & Development,23,3,Medical,2,Male,3,2,Laboratory Technician,2,Married,2042,4,No,12,3,3,1,17,3,4,3,2,1,2,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1
100,133,36-43,Yes,Travel_Rarely,Human Resources,6,4,Human Resources,3,Male,3,1,Human Resources,1,Divorced,2073,4,Yes,22,4,4,0,7,3,3,3,2,0,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
101,134,31-35,No,Travel_Rarely,Research & Development,1,1,Life Sciences,4,Male,3,1,Research Scientist,1,Single,2956,1,No,13,3,4,0,1,2,3,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1
102,137,18-30,Yes,Travel_Frequently,Research & Development,6,3,Life Sciences,4,Female,2,1,Laboratory Technician,4,Single,2926,1,Yes,18,3,2,0,1,5,3,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0
103,138,31-35,No,Travel_Rarely,Research & Development,6,4,Other,1,Female,3,2,Research Scientist,3,Single,4809,1,No,14,3,3,0,16,3,3,16,13,2,10,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0
104,139,36-43,No,Non-Travel,Research & Development,2,2,Life Sciences,3,Male,2,2,Healthcare Representative,4,Divorced,5163,5,No,14,3,4,1,17,2,4,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1
105,140,44+,No,Non-Travel,Human Resources,2,4,Human Resources,3,Female,2,5,Manager,4,Married,18844,9,No,21,4,4,1,30,3,3,3,2,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
106,141,44+,No,Travel_Frequently,Research & Development,1,3,Life Sciences,1,Female,3,5,Research Director,2,Married,18172,3,Yes,19,3,1,0,28,1,2,8,3,0,7,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0
107,142,18-30,Yes,Travel_Rarely,Sales,5,3,Marketing,3,Male,2,2,Sales Executive,3,Single,5744,1,Yes,11,3,4,0,6,1,3,6,4,0,3,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1
108,143,18-30,No,Travel_Rarely,Research & Development,7,1,Medical,4,Male,2,1,Research Scientist,4,Married,2889,1,No,11,3,3,2,2,2,3,2,2,2,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1
109,144,18-30,No,Travel_Rarely,Research & Development,15,3,Medical,2,Female,3,1,Laboratory Technician,4,Single,2871,1,No,15,3,3,0,1,5,3,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0
110,145,44+,No,Travel_Frequently,Research & Development,1,4,Medical,1,Female,2,3,Healthcare Representative,1,Single,7484,3,No,20,4,3,0,23,1,2,13,12,12,8,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0
111,147,31-35,Yes,Travel_Frequently,Research & Development,7,3,Life Sciences,1,Male,1,2,Laboratory Technician,3,Single,6074,1,Yes,24,4,4,0,9,3,3,9,7,0,6,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1
112,148,44+,No,Non-Travel,Human Resources,26,3,Human Resources,4,Female,4,4,Manager,4,Single,17328,2,Yes,12,3,3,0,23,3,3,5,3,4,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
113,150,18-30,No,Travel_Rarely,Research & Development,18,1,Life Sciences,2,Male,3,1,Laboratory Technician,3,Married,2774,0,No,12,3,3,1,6,2,3,5,3,1,2,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1
114,151,31-35,No,Travel_Rarely,Research & Development,6,4,Life Sciences,3,Female,2,2,Research Scientist,2,Divorced,4505,6,No,15,3,3,1,12,3,3,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0
