AdjSalePrice,SqFtLot,SqFtTotLiving,Bathrooms,Bedrooms,BldgGrade,YrBuilt,YrRenovated,TrafficNoise,LandVal,ImpsVal,ZipCode,NewConstruction
429116,5420,2330,2.75,3,8,2003,0,1,87000,211000,98042,FALSE
374781,4500,1850,2.5,3,8,2004,0,0,90000,185000,98042,FALSE
310179,4500,1850,2.5,3,8,2004,0,0,90000,185000,98042,FALSE
375822,4800,1920,2.5,4,8,2004,0,0,90000,189000,98042,FALSE
399101,4597,1850,2.5,3,8,2003,0,0,90000,183000,98042,FALSE
277671,4597,1850,2.5,3,8,2003,0,0,90000,183000,98042,FALSE
286265,5085,920,1,3,7,1954,0,2,80000,120000,98108,FALSE
294146,5635,1190,1,3,7,1922,0,1,61000,127000,98002,FALSE
232692,4543,1290,1,3,7,1951,0,0,61000,152000,98002,FALSE
550142,7800,2470,2.25,4,8,1975,0,0,269000,283000,98052,FALSE
575747,9030,2730,2.5,5,8,1976,0,0,269000,301000,98052,FALSE
612428,9800,1980,2.75,4,8,1976,0,0,269000,270000,98052,FALSE
451523,9750,1470,1.75,3,7,1978,0,0,269000,177000,98052,FALSE
570862,11000,2410,2.5,4,7,1978,0,0,269000,275000,98052,FALSE
466797,9200,1850,2,3,7,1977,0,0,269000,190000,98052,FALSE
667157,7140,1690,1.75,3,8,1955,0,0,541000,205000,98040,FALSE
642577,7140,1510,1.5,3,8,1955,0,0,541000,166000,98040,FALSE
711375,8568,1500,1.5,3,8,1954,0,0,541000,172000,98040,FALSE
704518,7821,3620,3.5,5,10,1958,2010,0,541000,808000,98040,FALSE
1774213,7821,3620,3.5,5,10,1958,2010,0,541000,808000,98040,FALSE
863533,8736,3060,2.5,3,8,1956,0,0,500000,284000,98040,FALSE
488832,4000,1240,2,3,6,1918,2012,0,194000,232000,98136,FALSE
464683,5320,1490,1.75,3,8,1962,0,0,201000,282000,98136,FALSE
753314,5098,1790,2.5,3,9,2005,0,0,289000,464000,98136,TRUE
858177,5098,1790,2.5,3,9,2005,0,0,289000,464000,98136,FALSE
717316,5460,2230,3.25,3,8,1977,0,0,231000,435000,98136,FALSE
334020,4320,760,1,2,6,1941,0,1,212000,120000,98136,FALSE
386288,7980,2080,1.75,3,7,1937,0,0,189000,281000,98126,FALSE
368105,5320,1180,1.75,3,7,1968,0,0,179000,174000,98126,FALSE
304554,8631,1130,1.75,3,7,1955,0,0,91000,143000,98168,FALSE
396797,8428,2130,2.5,5,7,2013,0,0,94000,275000,98168,TRUE
85269,16344,780,1,2,5,1942,0,1,125000,1000,98168,FALSE
433538,7288,1800,2.5,3,8,2007,0,1,102000,241000,98168,TRUE
305942,7920,2100,2,4,7,1967,0,1,102000,136000,98168,FALSE
251036,19570,1400,1,2,6,1929,0,3,105000,77000,98168,FALSE
206648,8140,700,1,1,6,1943,0,0,104000,70000,98168,FALSE
566817,19350,5050,3.75,5,9,1959,0,0,109000,351000,98188,FALSE
190438,9000,880,1,2,5,1928,0,1,91000,37000,98188,FALSE
116525,9000,880,1,2,5,1928,0,1,91000,37000,98188,FALSE
492882,10498,2730,2.5,4,8,2002,0,0,114000,252000,98188,FALSE
234090,9282,1500,1,5,6,1966,0,1,104000,161000,98168,FALSE
220187,10080,1970,1.5,3,7,1966,0,0,114000,137000,98168,FALSE
272553,9180,3670,4.25,6,10,2008,0,0,110000,531000,98168,FALSE
2227361,26540,5000,3.5,5,10,2008,0,0,1013000,1053000,98040,FALSE
2013466,16240,5050,3.25,4,11,1987,0,0,876000,813000,98040,FALSE
3826741,16750,6210,5.5,5,11,2009,0,0,2412000,2698000,98040,FALSE
305270,8040,2220,1.75,4,7,1955,0,0,161000,188000,98146,FALSE
211725,7201,1250,1.75,3,6,1983,0,1,143000,134000,98146,FALSE
406868,8336,1420,1.5,3,7,1955,0,0,161000,175000,98146,FALSE
422651,8285,2160,2.5,4,7,1963,0,0,162000,188000,98059,FALSE
348005,7984,1150,1,3,7,1961,0,0,162000,141000,98059,FALSE
451036,13042,2520,3,5,8,2003,0,0,105000,241000,98042,FALSE
436969,9520,2180,2.5,4,8,2004,0,0,105000,225000,98042,FALSE
351664,8408,1900,2.5,4,8,2004,0,0,105000,209000,98042,FALSE
621115,15295,3340,2.5,4,10,1990,0,0,128000,344000,98023,FALSE
386081,13125,2480,2.5,5,8,1977,0,0,108000,201000,98023,FALSE
815493,5875,2600,2.75,3,8,1929,0,2,286000,567000,98116,FALSE
690928,5000,1560,1.75,2,7,1936,0,2,344000,151000,98116,FALSE
626137,5000,2880,2,4,8,1941,0,2,260000,275000,98116,FALSE
704060,3440,1830,1.5,3,8,1941,0,2,201000,418000,98116,FALSE
548650,6000,2480,1.75,5,7,1955,0,1,259000,408000,98116,FALSE
422578,7045,1810,2.5,4,7,1988,0,0,91000,224000,98032,FALSE
454043,6300,1590,1.75,3,7,1925,0,0,238000,248000,98126,FALSE
433979,6550,1850,2,3,7,1985,0,0,238000,276000,98126,FALSE
316632,6550,1810,1.5,3,7,1950,0,0,238000,249000,98126,FALSE
320102,6600,2210,2.5,4,8,1943,2011,0,238000,429000,98136,FALSE
523908,6500,1680,1.75,3,7,1944,0,0,238000,226000,98126,FALSE
505217,6550,1810,1.5,3,7,1928,0,0,238000,239000,98126,FALSE
395033,6550,1370,1.75,3,6,1914,0,0,238000,189000,98126,FALSE
452454,6550,1370,1.75,3,6,1914,0,0,238000,189000,98126,FALSE
503121,6550,1720,2,4,7,1975,0,0,238000,281000,98126,FALSE
325614,6419,1080,1,2,6,1918,0,0,238000,165000,98126,FALSE
715491,4109,2810,3,4,8,1918,2013,0,302000,663000,98103,FALSE
597773,4109,2110,1.75,4,7,1924,0,0,302000,318000,98103,FALSE
685589,4109,2110,1.75,4,7,1924,0,0,302000,318000,98103,FALSE
228138,5040,1180,1,2,6,1942,0,2,83000,81000,98168,FALSE
170693,9452,1100,1.75,3,6,1942,0,0,103000,80000,98146,FALSE
330257,11475,1260,1,4,6,1942,0,0,108000,117000,98146,FALSE
210434,10450,2930,2.5,7,7,1950,0,2,92000,120000,98055,FALSE
285250,18090,1370,1,3,6,1947,0,0,138000,103000,98055,FALSE
424456,7800,1980,2.5,3,8,1999,0,0,86000,221000,98055,FALSE
381423,7800,1980,2.5,3,8,1999,0,0,86000,221000,98055,FALSE
419649,29800,1270,0.75,2,6,1949,1990,0,155000,113000,98055,FALSE
304210,8500,1320,1.5,3,7,2003,0,1,87000,153000,98055,FALSE
572063,4761,1530,1.5,3,7,1925,0,0,271000,364000,98103,FALSE
545179,4000,1590,1,4,7,1907,0,1,249000,331000,98122,FALSE
931588,6000,2280,2.5,4,8,1980,0,1,370000,487000,98122,FALSE
868994,4000,3080,2.5,5,8,1925,0,0,312000,532000,98122,FALSE
1061210,12946,5210,3.25,4,11,2002,0,1,288000,777000,98075,FALSE
1177892,17584,4610,4,5,11,2004,0,0,380000,721000,98075,FALSE
1631840,22093,4930,4,4,12,2004,0,0,371000,873000,98075,FALSE
1597457,17771,4960,4,4,12,2006,0,0,331000,885000,98075,TRUE
1788419,15400,5240,4.25,5,12,2007,0,0,353000,928000,98075,TRUE
1533835,14942,4950,4.25,5,11,2006,0,0,315000,788000,98075,TRUE
1041801,14205,4630,3.5,4,11,2003,0,0,330000,737000,98075,FALSE
989842,15151,3550,3.75,4,11,2004,0,0,299000,643000,98075,FALSE
928058,15151,3550,3.75,4,11,2004,0,0,299000,643000,98075,FALSE
1159192,19098,4540,3.5,5,11,2003,0,0,337000,709000,98075,FALSE
1219048,16531,5210,3.25,4,11,2002,0,0,326000,772000,98075,FALSE
1125773,16271,4460,3.5,4,11,2001,0,0,369000,684000,98075,FALSE
1196462,17679,4220,4.25,4,11,2001,0,0,380000,687000,98075,FALSE
1513784,15783,4840,3.5,4,11,2006,0,0,304000,769000,98075,TRUE
1074694,15644,4160,4.5,4,11,2004,0,0,304000,696000,98075,FALSE
1205871,15709,4330,3.5,4,11,2005,0,0,304000,716000,98075,FALSE
1425913,14479,4630,4.5,4,11,2005,0,0,299000,757000,98075,TRUE
1253603,14837,3950,3.5,4,11,2006,0,0,299000,684000,98075,TRUE
1042669,7338,3720,4.25,5,10,2004,0,0,276000,528000,98075,TRUE
897141,7845,3550,3.5,4,10,2004,0,0,276000,507000,98075,FALSE
786246,7121,3150,2.5,4,10,2005,0,0,276000,463000,98075,FALSE
762969,8938,3210,2.5,4,10,2005,0,0,280000,467000,98075,FALSE
766295,7331,3230,2.5,4,10,2004,0,0,276000,465000,98075,FALSE
941612,8030,3320,3.75,4,10,2005,0,0,280000,492000,98075,TRUE
982280,8727,4070,3.5,4,10,2005,0,0,280000,561000,98075,TRUE
837400,6998,3740,3.5,4,10,2005,0,0,242000,382000,98075,FALSE
915756,7380,3190,4.25,5,10,2005,0,0,276000,478000,98075,TRUE
965576,7422,3280,3.25,4,10,2005,0,0,276000,484000,98075,TRUE
1094078,9379,5090,4.5,6,10,2005,0,0,299000,592000,98075,FALSE
782636,9924,3100,2.75,4,10,2006,0,0,270000,471000,98075,TRUE
987408,8448,3280,4,4,10,2007,0,0,280000,501000,98075,TRUE
981467,12297,3510,3.5,4,10,2008,0,0,292000,522000,98075,TRUE
980305,12297,3510,3.5,4,10,2008,0,0,292000,522000,98075,FALSE
974910,9473,3500,3.5,3,10,2008,0,0,285000,526000,98075,TRUE
843907,6565,3490,3.25,4,10,2005,0,0,266000,501000,98075,TRUE
936207,11736,4100,3.5,4,10,2006,0,0,287000,568000,98075,FALSE
910956,9750,3550,3.75,4,10,2005,0,0,270000,512000,98075,FALSE
839124,10145,3780,2.5,4,10,2006,0,0,270000,529000,98075,TRUE
807122,12364,3150,2.5,4,10,2006,0,0,277000,468000,98075,TRUE
828132,7339,3480,2.5,4,10,2006,0,0,276000,501000,98075,TRUE
919943,8074,4100,3.75,5,10,2006,0,0,280000,566000,98075,FALSE
1041136,8074,4100,3.75,5,10,2006,0,0,280000,566000,98075,FALSE
921812,8860,4100,3.5,4,10,2006,0,0,280000,572000,98075,TRUE
924409,10365,4070,3.5,4,10,2006,0,0,285000,565000,98075,FALSE
900645,6098,3560,3.5,4,10,2006,0,0,266000,509000,98075,TRUE
992871,6635,3480,3.5,4,10,2006,0,0,266000,509000,98075,TRUE
835740,8629,3730,3,4,10,2006,0,0,280000,520000,98075,TRUE
788918,6866,3200,2.75,5,10,2007,0,0,266000,484000,98075,TRUE
767704,6866,3200,2.75,5,10,2007,0,0,266000,484000,98075,FALSE
833233,7024,3490,3.25,4,10,2006,0,0,276000,504000,98075,TRUE
850304,8131,3830,3.75,5,10,2005,0,0,280000,537000,98075,TRUE
832269,7208,3880,2.5,4,10,2006,0,1,262000,540000,98075,TRUE
771793,7208,3880,2.5,4,10,2006,0,1,262000,540000,98075,FALSE
793098,7180,3490,3.25,4,10,2006,0,1,262000,508000,98075,TRUE
772969,6713,3200,2.75,5,10,2006,0,1,252000,488000,98075,TRUE
388472,8463,1990,2.25,4,7,1996,0,0,80000,178000,98003,FALSE
370033,7813,2960,3.5,5,7,1996,0,0,80000,201000,98003,FALSE
235634,7500,970,1,3,7,1969,0,0,58000,104000,98023,FALSE
260729,7504,1230,2,4,6,1970,0,0,58000,131000,98023,FALSE
354122,8908,1220,1.75,3,7,1976,0,0,58000,153000,98023,FALSE
316893,7440,1820,2.5,4,7,1975,0,0,58000,186000,98023,FALSE
315316,7480,1470,2.5,3,7,1977,0,0,58000,157000,98023,FALSE
246166,7840,1750,1.75,4,7,1977,0,0,58000,147000,98023,FALSE
961346,8410,2870,2.5,3,10,1998,0,0,244000,692000,98115,FALSE
584161,5500,2070,1.75,3,7,1946,0,0,420000,204000,98115,FALSE
309841,7748,1590,2.25,3,7,1991,0,0,80000,175000,98003,FALSE
333516,7350,2040,2.5,3,7,1990,0,0,80000,166000,98003,FALSE
271472,7350,2040,2.5,3,7,1990,0,0,80000,166000,98003,FALSE
308361,7606,1660,2.25,3,7,1989,0,0,80000,178000,98003,FALSE
235370,7208,1620,1.75,3,7,1981,0,0,65000,157000,98023,FALSE
265439,7334,1660,2.75,4,7,1983,0,0,65000,149000,98023,FALSE
322894,7854,1500,2,4,7,1983,0,0,65000,166000,98023,FALSE
313160,7210,1540,2,3,7,1984,0,0,65000,172000,98023,FALSE
350124,7210,1750,2.5,3,7,1985,0,0,65000,189000,98023,FALSE
309561,7224,1730,2.75,3,7,1985,0,0,65000,189000,98023,FALSE
285183,6974,1140,1.75,3,7,1986,0,0,65000,132000,98023,FALSE
314461,6000,1230,1.75,3,7,1987,0,0,65000,133000,98023,FALSE
342142,5995,1700,2.25,3,7,1986,0,0,65000,188000,98023,FALSE
298411,5999,1430,2.25,3,7,1987,0,0,65000,147000,98023,FALSE
272432,7077,1260,2,3,7,1988,0,0,65000,180000,98023,FALSE
318093,6650,1610,2,4,7,1989,0,0,65000,158000,98023,FALSE
290051,6671,1990,2.5,4,7,1989,0,0,65000,175000,98023,FALSE
404951,7802,2330,2.75,4,8,1992,0,0,68000,221000,98023,FALSE
382951,6866,1890,2.25,4,8,1992,0,0,68000,193000,98023,FALSE
351485,8168,860,1,2,6,1948,0,0,301000,104000,98177,FALSE
514846,8168,1200,2,3,6,1948,0,0,301000,155000,98177,FALSE
537096,8168,1200,2,3,6,1948,0,0,301000,155000,98177,FALSE
482617,8395,1300,1.75,3,6,1948,0,0,301000,101000,98177,FALSE
364912,8391,850,1,2,6,1948,0,0,301000,56000,98177,FALSE
449518,8053,1410,1,3,7,1951,0,0,301000,109000,98177,FALSE
372178,1654,1340,1.5,2,8,2009,0,0,94000,266000,98177,FALSE
465222,2900,1820,3.5,4,8,2009,0,0,94000,344000,98177,TRUE
374028,2290,1290,2.5,3,8,2005,0,2,87000,257000,98177,FALSE
415120,1975,1440,2.5,3,8,2006,0,2,87000,271000,98177,TRUE
317669,7272,1830,1.75,3,8,1979,0,0,66000,195000,98023,FALSE
335443,7000,2240,2.25,3,8,1981,0,0,66000,185000,98023,FALSE
264248,3900,1480,1.75,3,7,1980,0,0,66000,162000,98023,FALSE
317033,6800,1490,2.5,3,7,1987,0,0,66000,141000,98023,FALSE
333243,5950,1940,1.75,3,8,1979,0,0,66000,209000,98023,FALSE
345745,7500,2010,2.75,3,8,1983,0,0,66000,174000,98023,FALSE
306716,6930,1910,2.5,3,7,1981,0,0,66000,206000,98023,FALSE
348816,9904,1570,2.25,2,7,1983,0,1,97000,133000,98031,FALSE
101306,7201,2120,2.5,5,7,2012,0,0,81000,238000,98168,FALSE
101306,7561,2110,2.5,5,7,2012,0,0,81000,237000,98168,FALSE
236359,10101,1400,2,4,6,1942,0,0,97000,145000,98168,FALSE
152044,9750,780,1,2,6,1937,0,1,87000,49000,98168,FALSE
381476,5031,1620,2.5,3,7,2000,0,0,89000,229000,98019,FALSE
369187,5992,1620,2.5,3,7,2001,0,0,90000,230000,98019,FALSE
427214,4643,1980,2.25,3,7,2001,0,0,88000,252000,98019,FALSE
423390,4643,1980,2.25,3,7,2001,0,0,88000,252000,98019,FALSE
400294,4354,1960,2.25,3,7,2000,0,0,88000,244000,98019,FALSE
395083,3577,1510,2.25,3,7,2000,0,0,87000,217000,98019,FALSE
502465,33300,920,1,2,7,1946,0,0,285000,5000,98028,FALSE
584979,7727,2680,2.5,3,9,2007,0,0,171000,403000,98028,TRUE
557591,5267,2570,2.5,4,9,2007,0,0,159000,395000,98028,FALSE
362107,9584,1410,1,3,7,1951,0,0,182000,156000,98028,FALSE
658562,44083,3930,4.5,7,10,1992,0,0,287000,498000,98028,FALSE
449611,8456,1560,1.75,3,7,1970,0,0,164000,243000,98028,FALSE
601441,21370,2800,2.5,4,8,2003,0,0,200000,331000,98028,FALSE
309377,10296,1090,1,3,6,1950,0,0,174000,89000,98028,FALSE
352067,13167,1210,1,2,6,1949,0,0,299000,1000,98028,FALSE
302417,15000,1040,0.75,3,6,1941,0,1,194000,92000,98028,FALSE
253082,9848,1170,1.5,3,7,1963,0,1,164000,101000,98028,FALSE
238190,9695,1360,1.75,3,7,1969,0,0,58000,126000,98023,FALSE
601304,3565,1960,4.25,4,7,1940,2003,0,250000,328000,98116,FALSE
659699,5750,2160,1.75,3,7,1909,0,0,232000,309000,98116,FALSE
660497,5750,2160,1.75,3,7,1909,0,0,232000,309000,98116,FALSE
802133,435191,2880,3,4,9,1965,0,0,0,0,98092,FALSE
291312,58411,1200,1.75,3,7,1978,0,0,113000,151000,98070,FALSE
455815,18910,2750,2.5,5,8,1967,0,0,59500,208000,98023,FALSE
277024,43560,1200,1,4,6,1968,0,0,130000,102000,98042,FALSE
460754,35245,2500,2.75,3,7,2000,0,0,121000,218000,98042,FALSE
421647,5000,910,1,2,7,1924,0,0,268000,177000,98107,FALSE
472670,5000,1190,2,2,7,1915,0,0,254000,239000,98107,FALSE
184397,4000,660,1,2,5,1935,0,0,76000,57000,98106,FALSE
338759,4196,1260,1,3,7,1942,0,1,72000,169000,98146,FALSE
298752,6800,1200,1.75,3,7,1990,0,0,81000,139000,98106,FALSE
351845,29228,1240,1,2,6,1939,0,2,109000,89000,98106,FALSE
160944,8261,620,1,2,5,1939,0,0,85000,116000,98106,FALSE
369046,13700,970,1,2,7,1949,0,0,92000,107000,98106,FALSE
288445,7874,840,1,2,6,1956,0,0,189000,54000,98146,FALSE
338131,7200,1300,1,3,7,1952,0,0,90000,208000,98146,FALSE
421954,14000,2110,2,5,6,1944,0,0,94000,108000,98146,FALSE
311431,10000,1570,2,5,6,1953,0,0,88000,108000,98146,FALSE
470856,8803,2620,2.75,5,8,2008,0,0,85000,303000,98146,FALSE
454223,21534,1310,1.5,3,7,1961,0,0,195000,174000,98146,FALSE
110965,4320,2280,2.5,4,7,2015,0,0,76000,304000,98106,FALSE
449611,220414,2190,2.25,3,7,1976,0,0,247000,170000,98059,FALSE
555489,51836,2600,2.5,4,8,1987,0,0,163000,296000,98059,FALSE
520193,43560,2500,2.75,4,8,1977,0,0,161000,324000,98059,FALSE
686003,13187,1800,2.5,3,9,1975,0,0,250000,321000,98008,FALSE
1363472,9411,3370,2.25,4,10,1988,0,0,391000,500000,98075,FALSE
579141,2726,1230,1,2,7,1920,0,0,228000,257000,98117,FALSE
485053,3680,1550,1.75,3,7,1927,0,1,258000,282000,98117,FALSE
651746,3750,1420,1,3,7,1927,0,0,272000,337000,98117,FALSE
492677,4000,1240,1,3,7,1930,0,0,265000,262000,98117,FALSE
2348082,963702,5150,3.75,4,11,1997,0,0,462543,1537000,98053,FALSE
583657,8212,4700,4.75,7,8,1980,2010,0,154000,431000,98177,FALSE
428615,9800,2130,2.5,4,7,1959,0,0,287000,126000,98177,FALSE
451988,11367,1840,1.5,4,7,1950,0,0,172000,191000,98177,FALSE
415956,10911,2060,1.75,5,7,1954,0,0,176000,226000,98177,FALSE
400452,10200,2020,1,5,8,1959,0,1,164000,222000,98133,FALSE
280645,9306,860,1,2,6,1942,0,0,172000,125000,98177,FALSE
398180,9004,2100,3,4,7,1903,2010,0,287000,197000,98177,FALSE
439830,8800,1830,2.25,3,8,1991,0,0,169000,302000,98177,FALSE
452078,30964,1170,1,3,7,1946,0,0,256000,62000,98028,FALSE
418156,27468,1830,1.75,3,7,1954,0,1,270000,89000,98028,FALSE
911681,31500,2510,2.75,4,8,1930,2011,0,281000,304000,98028,FALSE
404211,14928,2300,2.75,4,7,1978,0,0,216000,185000,98028,FALSE
393905,10400,1720,2.5,3,8,1992,0,1,150000,244000,98028,FALSE
386890,10731,1530,1.75,3,7,1986,0,0,193000,152000,98028,FALSE
553124,45738,1880,1.75,3,8,1980,0,0,217000,281000,98072,FALSE
686149,52648,2450,3,4,8,1999,0,0,241000,359000,98077,FALSE
382038,6500,1130,1,3,6,1948,0,1,150000,124000,98133,FALSE
301716,4500,2180,2.75,4,7,2004,0,0,64000,167000,98001,FALSE
297944,4774,1570,2.5,3,7,2003,0,0,61000,146000,98001,FALSE
286726,5000,2020,2.5,4,7,2003,0,0,61000,169000,98001,FALSE
317267,8000,1110,2,2,7,1937,0,0,85000,146000,98168,FALSE
288176,9450,1620,2.25,3,7,1928,0,0,87000,117000,98168,FALSE
314434,14746,1690,1,2,6,1948,0,0,94000,106000,98168,FALSE
235345,7667,2450,4,4,7,1920,0,2,74000,141000,98168,FALSE
366972,2775,1540,1,2,6,1952,0,0,147000,195000,98116,FALSE
644400,2500,2000,2.5,2,8,1994,0,0,162000,432000,98116,FALSE
616996,6000,1970,1.75,3,8,1910,1970,2,213000,448000,98116,FALSE
671990,6000,1970,1.75,3,8,1910,1970,2,213000,448000,98116,FALSE
826554,6435,1680,2,4,6,1920,0,2,746000,10000,98116,FALSE
809863,4440,2100,2.5,3,7,1945,0,2,609000,93000,98116,FALSE
782239,6050,2600,2.75,4,8,1949,0,0,228000,480000,98116,FALSE
662588,4844,2620,1.5,3,8,1927,0,2,234000,491000,98116,FALSE
914738,8239,3090,3.75,4,9,1925,0,0,470000,571000,98116,FALSE
813115,7042,2440,2.75,4,7,1941,0,1,312000,379000,98116,FALSE
899900,4296,2790,2.5,3,9,2007,0,1,253000,636000,98116,FALSE
754264,7900,2580,3,3,9,1961,0,0,457000,575000,98116,FALSE
814289,4800,2340,2.75,3,8,1947,1991,0,248000,452000,98116,FALSE
1034548,4440,3070,3.5,4,9,1922,2007,0,240000,596000,98116,FALSE
903860,4718,2110,2.75,3,7,1951,0,1,387000,231000,98116,FALSE
1098056,1838,2380,3.25,3,10,2005,0,1,319000,506000,98116,FALSE
1239648,13345,2970,3.5,4,10,1993,0,1,411000,673000,98136,FALSE
729907,4497,2850,2,4,7,1910,0,0,308000,343000,98144,FALSE
843823,9244,3020,3.25,4,10,1989,0,0,291000,521000,98052,FALSE
364001,6342,1700,1.75,3,6,1923,0,0,172000,223000,98133,FALSE
420152,10500,1240,1,2,7,1936,0,0,202000,206000,98133,FALSE
314754,7875,2780,3.25,4,9,2006,0,0,180000,663000,98133,FALSE
760048,7875,2780,3.25,4,9,2006,0,0,180000,663000,98133,TRUE
352259,7228,980,1,3,7,1946,0,0,177000,143000,98133,FALSE
449620,7980,1440,2.5,3,7,1979,0,0,180000,240000,98133,FALSE
523492,7350,2080,2.25,3,7,1990,0,0,177000,236000,98133,FALSE
451988,9167,860,1,1,6,1934,0,0,190000,149000,98133,FALSE
856462,4382,2950,3.25,4,9,2000,0,1,228000,555000,98107,FALSE
359669,1363,1370,2.25,3,8,2009,0,2,88000,254000,98133,TRUE
730754,7632,2620,2.5,3,9,2006,0,0,180000,460000,98133,TRUE
330964,9375,1240,1.5,3,7,1955,0,0,190000,163000,98133,FALSE
346922,8304,1570,1,4,7,1905,0,1,91000,161000,98168,FALSE
337090,3000,1190,2.5,3,7,2002,0,0,68000,178000,98178,FALSE
156905,3000,840,1,3,5,1943,0,0,68000,62000,98178,FALSE
289603,7000,2640,3,5,7,2010,0,0,93000,266000,98178,FALSE
384584,4500,2520,2.5,3,8,2009,0,0,80000,312000,98178,TRUE
400414,4500,2480,2.5,4,8,2010,0,0,80000,320000,98178,TRUE
296414,17700,1810,1,3,6,1941,2009,2,119000,154000,98178,FALSE
301575,7500,1880,2,4,6,1946,0,0,89000,144000,98178,FALSE
220776,7500,1880,2,4,6,1946,0,0,89000,144000,98178,FALSE
571604,7043,2330,2.5,3,8,1976,0,0,152000,333000,98034,FALSE
954916,9525,2600,2.5,4,8,1970,0,0,564000,200000,98040,FALSE
952747,10160,2250,2.5,4,9,1967,0,0,595000,207000,98040,FALSE
881341,10125,2790,3.5,4,8,1985,0,0,595000,452000,98040,FALSE
843908,10125,2790,3.5,4,8,1985,0,0,595000,452000,98040,FALSE
669774,9525,1920,2.25,5,8,1961,0,0,595000,186000,98040,FALSE
864609,9525,2910,2.75,4,8,1965,0,0,595000,343000,98040,FALSE
938451,10125,2910,2.75,4,8,1963,2004,0,595000,457000,98040,FALSE
1251497,9525,3160,3.75,4,10,1997,0,0,595000,584000,98040,FALSE
1438271,9525,3160,3.75,4,10,1997,0,0,595000,584000,98040,FALSE
733599,9525,1910,2.75,3,7,1990,0,0,595000,208000,98040,FALSE
1644242,9525,3570,3.5,4,10,2004,0,0,595000,751000,98040,FALSE
866095,9525,2250,2.25,4,8,1966,0,0,595000,294000,98040,FALSE
1113360,11430,2160,2.5,3,8,1959,2009,0,595000,513000,98040,FALSE
456064,14276,1510,0.75,4,8,1968,0,0,130000,138000,98068,FALSE
355732,20383,1140,1.5,3,7,1985,0,0,167000,109000,98045,FALSE
345795,15258,1100,1.5,3,7,1985,0,0,156000,110000,98045,FALSE
412209,15200,1960,1,3,7,1986,0,0,156000,204000,98045,FALSE
362583,18678,1140,1,3,7,1985,0,0,164000,105000,98045,FALSE
269294,2796,1738,2.5,4,7,2005,0,0,78000,170000,98001,FALSE
282402,15611,1430,1.5,3,6,1918,0,0,94000,111000,98022,FALSE
